Date_Param,Province_Name,Price
2022-01-04,Papua,12100.0
2022-01-04,Papua Barat,13000.0
2022-01-05,Aceh,10350.0
2022-01-05,Sumatera Utara,11150.0
2022-01-05,Sumatera Barat,13200.0
2022-01-05,Riau,12250.0
2022-01-05,Kepulauan Riau,13200.0
2022-01-05,Jambi,11800.0
2022-01-05,Bengkulu,11300.0
2022-01-05,Sumatera Selatan,11400.0
2022-01-05,Kepulauan Bangka Belitung,11400.0
2022-01-05,Lampung,11250.0
2022-01-05,Banten,11550.0
2022-01-05,Jawa Barat,11300.0
2022-01-05,DKI Jakarta,13550.0
2022-01-05,Jawa Tengah,10950.0
2022-01-05,DI Yogyakarta,11250.0
2022-01-05,Jawa Timur,10500.0
2022-01-05,Bali,11400.0
2022-01-05,Nusa Tenggara Barat,9700.0
2022-01-05,Nusa Tenggara Timur,11300.0
2022-01-05,Kalimantan Barat,13350.0
2022-01-05,Kalimantan Selatan,13100.0
2022-01-05,Kalimantan Tengah,13850.0
2022-01-05,Kalimantan Timur,12200.0
2022-01-05,Kalimantan Utara,13300.0
2022-01-05,Gorontalo,11000.0
2022-01-05,Sulawesi Selatan,9900.0
2022-01-05,Sulawesi Tenggara,10950.0
2022-01-05,Sulawesi Tengah,10600.0
2022-01-05,Sulawesi Utara,11250.0
2022-01-05,Sulawesi Barat,9750.0
2022-01-05,Maluku,13150.0
2022-01-05,Maluku Utara,12650.0
2022-01-05,Papua,12100.0
2022-01-05,Papua Barat,13000.0
2022-01-06,Aceh,10350.0
2022-01-06,Sumatera Utara,11150.0
2022-01-06,Sumatera Barat,13200.0
2022-01-06,Riau,12250.0
2022-01-06,Kepulauan Riau,13200.0
2022-01-06,Jambi,11800.0
2022-01-06,Bengkulu,11300.0
2022-01-06,Sumatera Selatan,11400.0
2022-01-06,Kepulauan Bangka Belitung,11400.0
2022-01-06,Lampung,11250.0
2022-01-06,Banten,11550.0
2022-01-06,Jawa Barat,11300.0
2022-01-06,DKI Jakarta,13550.0
2022-01-06,Jawa Tengah,10950.0
2022-01-06,DI Yogyakarta,11250.0
2022-01-06,Jawa Timur,10500.0
2022-01-06,Bali,11450.0
2022-01-06,Nusa Tenggara Barat,9700.0
2022-01-06,Nusa Tenggara Timur,11300.0
2022-01-06,Kalimantan Barat,13350.0
2022-01-06,Kalimantan Selatan,13100.0
2022-01-06,Kalimantan Tengah,13850.0
2022-01-06,Kalimantan Timur,12200.0
2022-01-06,Kalimantan Utara,13350.0
2022-01-06,Gorontalo,11000.0
2022-01-06,Sulawesi Selatan,9900.0
2022-01-06,Sulawesi Tenggara,10950.0
2022-01-06,Sulawesi Tengah,10600.0
2022-01-06,Sulawesi Utara,11250.0
2022-01-06,Sulawesi Barat,9750.0
2022-01-06,Maluku,13150.0
2022-01-06,Maluku Utara,12650.0
2022-01-06,Papua,12100.0
2022-01-06,Papua Barat,13000.0
2022-01-07,Aceh,10400.0
2022-01-07,Sumatera Utara,11150.0
2022-01-07,Sumatera Barat,13200.0
2022-01-07,Riau,12250.0
2022-01-07,Kepulauan Riau,13200.0
2022-01-07,Jambi,11800.0
2022-01-07,Bengkulu,11300.0
2022-01-07,Sumatera Selatan,11400.0
2022-01-07,Kepulauan Bangka Belitung,11400.0
2022-01-07,Lampung,11300.0
2022-01-07,Banten,11550.0
2022-01-07,Jawa Barat,11300.0
2022-01-07,DKI Jakarta,13550.0
2022-01-07,Jawa Tengah,10950.0
2022-01-07,DI Yogyakarta,11250.0
2022-01-07,Jawa Timur,10500.0
2022-01-07,Bali,11350.0
2022-01-07,Nusa Tenggara Barat,9700.0
2022-01-07,Nusa Tenggara Timur,11300.0
2022-01-07,Kalimantan Barat,13350.0
2022-01-07,Kalimantan Selatan,13100.0
